"n","scheme","nu","p","q","test","power","se","crit","R0","R1"
50,"linear",0.5,2,1,"Hoeffding",0.9391,0.00239146795922504,0.020962850912798,10000,10000
50,"linear",0.5,2,1,"dCov",0.9606,0.00194544699233878,0.330145290672178,10000,10000
50,"linear",0.5,2,1,"HHG",0.8243,0.00380564725112562,3455.81622907107,10000,10000
50,"linear",0.5,2,1,"Genest",0.9478,0.00222430123859157,0.0581974382222223,10000,10000
50,"linear",0.5,2,1,"MIC",0.6133,0.00486993952734528,0.39912950993865,10000,10000
50,"linear",0.6,2,2,"B_n",0.7099,0.0045380831856633,9.34898272346642,10000,10000
50,"linear",0.6,2,2,"P_n",0.7066,0.00455320151102496,9.24680178272624,10000,10000
50,"linear",0.6,2,2,"Hoeffding",0.8336,0.00372439310492327,0.0208130227113972,10000,10000
50,"linear",0.6,2,2,"dCov",0.8742,0.00331623823028443,0.329061208324214,10000,10000
50,"linear",0.6,2,2,"HHG",0.6602,0.00473641172196844,3473.34014749436,10000,10000
50,"linear",0.6,2,2,"Genest",0.8539,0.00353206441051122,0.0571950702222189,10000,10000
50,"linear",0.6,2,2,"MIC",0.4254,0.00494403519404949,0.401925020811018,10000,10000
50,"linear",0.6,2,1,"B_n",0.8116,0.00391031251947974,5.97923415889073,10000,10000
50,"linear",0.6,2,1,"P_n",0.8116,0.00391031251947974,5.97290421766638,10000,10000
50,"linear",0.6,2,1,"Hoeffding",0.8384,0.00368083468794783,0.0207465451490494,10000,10000
50,"linear",0.6,2,1,"dCov",0.8771,0.00328322387296389,0.329087093242068,10000,10000
50,"linear",0.6,2,1,"HHG",0.6684,0.0047078810520233,3465.37805092083,10000,10000
50,"linear",0.6,2,1,"Genest",0.8573,0.00349766650783061,0.0571561262222244,10000,10000
50,"linear",0.6,2,1,"MIC",0.4386,0.0049621571921897,0.399624872126757,10000,10000
50,"linear",0.7,2,2,"B_n",0.5618,0.00496166060911062,9.41611314391318,10000,10000
50,"linear",0.7,2,2,"P_n",0.5548,0.00496987887176338,9.37993585004859,10000,10000
50,"linear",0.7,2,2,"Hoeffding",0.7137,0.00452031315286895,0.0211872982310408,10000,10000
