"n","scheme","nu","p","q","test","power","se","crit","R0","R1"
50,"cubic",2,2,2,"B_n",0.2223,0.00415791666583158,9.48420277623963,10000,10000
50,"cubic",2,2,2,"P_n",0.2204,0.00414516392920714,9.39911584656505,10000,10000
50,"cubic",2,2,2,"Hoeffding",0.1247,0.00330378434526226,0.0206210944137137,10000,10000
50,"cubic",2,2,2,"dCov",0.1402,0.00347194412397435,0.330173788921579,10000,10000
50,"cubic",2,2,2,"HHG",0.2295,0.00420511295924378,3487.39957274528,10000,10000
50,"cubic",2,2,2,"Genest",0.1242,0.00329809581425404,0.0572212622222217,10000,10000
50,"cubic",2,2,2,"MIC",0.1929,0.00394575201957751,0.402525621619817,10000,10000
50,"cubic",2,2,1,"B_n",0.2115,0.00408372072992265,5.99479782168116,10000,10000
50,"cubic",2,2,1,"P_n",0.2115,0.00408372072992265,5.98748099823547,10000,10000
50,"cubic",2,2,1,"Hoeffding",0.1224,0.00327747219667841,0.0209191225056164,10000,10000
50,"cubic",2,2,1,"dCov",0.1415,0.00348536583445698,0.329425120473434,10000,10000
50,"cubic",2,2,1,"HHG",0.2384,0.00426104963594652,3448.01182578217,10000,10000
50,"cubic",2,2,1,"Genest",0.1203,0.00325312019452095,0.0575167662222186,10000,10000
50,"cubic",2,2,1,"MIC",0.2036,0.00402674856428856,0.399920843844098,10000,10000
50,"sine",0.1,2,2,"B_n",0.5611,0.00496252748103222,9.31228382908966,10000,10000
50,"sine",0.1,2,2,"P_n",0.5588,0.00496530522727455,9.24050788629612,10000,10000
50,"sine",0.1,2,2,"Hoeffding",0.9968,0.000564779603031128,0.0210967263871321,10000,10000
50,"sine",0.1,2,2,"dCov",0.9971,0.000537735064878609,0.320535327228762,10000,10000
50,"sine",0.1,2,2,"HHG",1,0,3518.00789519181,10000,10000
50,"sine",0.1,2,2,"Genest",0.9834,0.00127767131923668,0.0568055182222202,10000,10000
50,"sine",0.1,2,2,"MIC",1,0,0.40229406832931,10000,10000
50,"sine",0.1,2,1,"B_n",0.6544,0.00475563497337632,6.05767924107583,10000,10000
50,"sine",0.1,2,1,"P_n",0.6544,0.00475563497337632,6.04632610924137,10000,10000
50,"sine",0.1,2,1,"Hoeffding",0.998,0.000446766158073774,0.0204595376540996,10000,10000
50,"sine",0.1,2,1,"dCov",0.997,0.000546900356555013,0.321890968818761,10000,10000
50,"sine",0.1,2,1,"HHG",1,0,3522.55024744281,10000,10000
50,"sine",0.1,2,1,"Genest",0.979,0.00143384099536873,0.0573645742222214,10000,10000
50,"sine",0.1,2,1,"MIC",1,0,0.398753212320073,10000,10000
50,"sine",0.2,2,2,"B_n",0.4638,0.00498687838231493,9.41219093607264,10000,10000
50,"sine",0.2,2,2,"P_n",0.46,0.00498397431775085,9.33425039587996,10000,10000
50,"sine",0.2,2,2,"Hoeffding",0.9524,0.00212918388120895,0.0196199899941475,10000,10000
50,"sine",0.2,2,2,"dCov",0.958,0.0020058913230781,0.319729799016153,10000,10000
50,"sine",0.2,2,2,"HHG",0.9959,0.000638998435052856,3455.80380326023,10000,10000
50,"sine",0.2,2,2,"Genest",0.906,0.00291828716887149,0.0556356302222205,10000,10000
50,"sine",0.2,2,2,"MIC",0.9997,0.000173179098045915,0.400031334737924,10000,10000
50,"sine",0.2,2,1,"B_n",0.6026,0.00489360031060977,5.94979014658672,10000,10000
50,"sine",0.2,2,1,"P_n",0.6026,0.00489360031060977,5.94531400499991,10000,10000
50,"sine",0.2,2,1,"Hoeffding",0.9474,0.00223233599621562,0.0202304649889558,10000,10000
50,"sine",0.2,2,1,"dCov",0.9484,0.00221218082443547,0.324900009262139,10000,10000
50,"sine",0.2,2,1,"HHG",0.9952,0.000691155554126568,3458.76444579285,10000,10000
50,"sine",0.2,2,1,"Genest",0.8959,0.00305390225776792,0.0567221742222175,10000,10000
50,"sine",0.2,2,1,"MIC",1,0,0.400370616747701,10000,10000
50,"sine",0.3,2,2,"B_n",0.3651,0.00481458191331293,9.32536970737383,10000,10000
50,"sine",0.3,2,2,"P_n",0.364,0.00481148625686492,9.21686943352908,10000,10000
50,"sine",0.3,2,2,"Hoeffding",0.7518,0.00431968471071674,0.0202154562102362,10000,10000
50,"sine",0.3,2,2,"dCov",0.7667,0.00422931566568399,0.325990659158511,10000,10000
50,"sine",0.3,2,2,"HHG",0.8615,0.00345424014799203,3442.40456016448,10000,10000
50,"sine",0.3,2,2,"Genest",0.7254,0.0044631249142277,0.0564848142222222,10000,10000
50,"sine",0.3,2,2,"MIC",0.9662,0.00180714028232454,0.401735958697802,10000,10000
50,"sine",0.3,2,1,"B_n",0.5016,0.00499997439993446,5.7284076065092,10000,10000
50,"sine",0.3,2,1,"P_n",0.5016,0.00499997439993446,5.73731518098051,10000,10000
50,"sine",0.3,2,1,"Hoeffding",0.7543,0.00430501463412147,0.0200477637863656,10000,10000
50,"sine",0.3,2,1,"dCov",0.7679,0.00422172464758184,0.323909149716268,10000,10000
50,"sine",0.3,2,1,"HHG",0.8613,0.00345633201530177,3448.89651307988,10000,10000
50,"sine",0.3,2,1,"Genest",0.7267,0.00445653576222608,0.0558545742222228,10000,10000
50,"sine",0.3,2,1,"MIC",0.9689,0.00173587989215844,0.402338214490729,10000,10000
50,"sine",0.4,2,2,"B_n",0.2575,0.00437257075414452,9.57532302934512,10000,10000
50,"sine",0.4,2,2,"P_n",0.259,0.00438085608072212,9.41556365074123,10000,10000
50,"sine",0.4,2,2,"Hoeffding",0.5277,0.0049923212036086,0.0215042052898865,10000,10000
50,"sine",0.4,2,2,"dCov",0.5466,0.00497823703734565,0.329447863082897,10000,10000
50,"sine",0.4,2,2,"HHG",0.594,0.0049108451411137,3447.6162035433,10000,10000
50,"sine",0.4,2,2,"Genest",0.532,0.00498974949271003,0.0573603662222207,10000,10000
50,"sine",0.4,2,2,"MIC",0.8178,0.00386009274499979,0.39755857178605,10000,10000
50,"sine",0.4,2,1,"B_n",0.3584,0.00479530436990187,5.9739168350467,10000,10000
50,"sine",0.4,2,1,"P_n",0.3584,0.00479530436990187,5.96792295642054,10000,10000
50,"sine",0.4,2,1,"Hoeffding",0.5097,0.00499905901145406,0.0215508363382356,10000,10000
50,"sine",0.4,2,1,"dCov",0.5336,0.00498869762563337,0.330044874952552,10000,10000
50,"sine",0.4,2,1,"HHG",0.5652,0.00495730733362377,3482.18040959893,10000,10000
50,"sine",0.4,2,1,"Genest",0.5039,0.00499984789768649,0.0582957102222225,10000,10000
50,"sine",0.4,2,1,"MIC",0.8057,0.00395660852245961,0.399706069690629,10000,10000
50,"sine",0.5,2,2,"B_n",0.1939,0.00395351476537018,9.47395470362767,10000,10000
50,"sine",0.5,2,2,"P_n",0.1948,0.00396046663917271,9.35278632580134,10000,10000
50,"sine",0.5,2,2,"Hoeffding",0.3931,0.00488438726965829,0.0200183361966433,10000,10000
50,"sine",0.5,2,2,"dCov",0.4079,0.00491444391564295,0.325512964327158,10000,10000
50,"sine",0.5,2,2,"HHG",0.3855,0.00486713211244569,3427.03223498743,10000,10000
50,"sine",0.5,2,2,"Genest",0.4034,0.00490579697908505,0.0556136942222217,10000,10000
50,"sine",0.5,2,2,"MIC",0.5783,0.00493831054106564,0.401571249544519,10000,10000
50,"sine",0.5,2,1,"B_n",0.2828,0.00450360033750776,5.91577442498242,10000,10000
50,"sine",0.5,2,1,"P_n",0.2828,0.00450360033750776,5.91341834378963,10000,10000
50,"sine",0.5,2,1,"Hoeffding",0.3777,0.00484812035741688,0.0207013064245124,10000,10000
50,"sine",0.5,2,1,"dCov",0.4076,0.00491388074743374,0.326812103396478,10000,10000
50,"sine",0.5,2,1,"HHG",0.3934,0.00488504288619865,3425.86362290455,10000,10000
50,"sine",0.5,2,1,"Genest",0.3864,0.00486924059787561,0.0574192942222198,10000,10000
50,"sine",0.5,2,1,"MIC",0.58,0.00493558507170123,0.401735958697802,10000,10000
50,"sine",0.6,2,2,"B_n",0.1558,0.00362665631125973,9.53502764295593,10000,10000
50,"sine",0.6,2,2,"P_n",0.1558,0.00362665631125973,9.41081195329093,10000,10000
50,"sine",0.6,2,2,"Hoeffding",0.2791,0.00448556785702769,0.0211011629443637,10000,10000
50,"sine",0.6,2,2,"dCov",0.2965,0.00456714079047274,0.329136882784761,10000,10000
50,"sine",0.6,2,2,"HHG",0.2634,0.00440477513614486,3448.98901105938,10000,10000
50,"sine",0.6,2,2,"Genest",0.2855,0.00451652244542192,0.0576232462222217,10000,10000
50,"sine",0.6,2,2,"MIC",0.4136,0.00492478466534325,0.397484439431647,10000,10000
50,"sine",0.6,2,1,"B_n",0.2188,0.00413432654733513,6.04784399783709,10000,10000
50,"sine",0.6,2,1,"P_n",0.2188,0.00413432654733513,6.03712737694579,10000,10000
50,"sine",0.6,2,1,"Hoeffding",0.2829,0.00450408248148277,0.0210449744189998,10000,10000
50,"sine",0.6,2,1,"dCov",0.2961,0.004565356393536,0.329195099418549,10000,10000
50,"sine",0.6,2,1,"HHG",0.2719,0.00444938636218524,3449.89556740759,10000,10000
50,"sine",0.6,2,1,"Genest",0.2979,0.00457335314621559,0.0569100142222205,10000,10000
50,"sine",0.6,2,1,"MIC",0.4182,0.00493263377922992,0.399302195841342,10000,10000
50,"sine",0.7,2,2,"B_n",0.1331,0.00339682778486046,9.47677658604442,10000,10000
50,"sine",0.7,2,2,"P_n",0.1342,0.00340867070864875,9.35770241642975,10000,10000
50,"sine",0.7,2,2,"Hoeffding",0.2214,0.00415189161708251,0.0215481932828636,10000,10000
50,"sine",0.7,2,2,"dCov",0.2353,0.00424186173749216,0.330468154142791,10000,10000
50,"sine",0.7,2,2,"HHG",0.2015,0.00401120617769768,3461.60370443653,10000,10000
50,"sine",0.7,2,2,"Genest",0.2285,0.00419866347782244,0.0581030702222207,10000,10000
50,"sine",0.7,2,2,"MIC",0.2913,0.00454361431021604,0.401300316077669,10000,10000
50,"sine",0.7,2,1,"B_n",0.1767,0.00381414616919698,5.95897845167729,10000,10000
50,"sine",0.7,2,1,"P_n",0.1767,0.00381414616919698,5.9539256721065,10000,10000
50,"sine",0.7,2,1,"Hoeffding",0.2177,0.00412682335459128,0.0209056240442523,10000,10000
50,"sine",0.7,2,1,"dCov",0.2239,0.00416855838390204,0.32974851559939,10000,10000
50,"sine",0.7,2,1,"HHG",0.1908,0.00392931749798868,3460.94038523292,10000,10000
50,"sine",0.7,2,1,"Genest",0.2247,0.00417384606807678,0.0577336942222219,10000,10000
50,"sine",0.7,2,1,"MIC",0.2937,0.00455456155957958,0.400368663955449,10000,10000
50,"sine",0.8,2,2,"B_n",0.107,0.00309113247855863,9.58771113938384,10000,10000
50,"sine",0.8,2,2,"P_n",0.1053,0.00306939586889668,9.50940525801394,10000,10000
50,"sine",0.8,2,2,"Hoeffding",0.1822,0.00386009274499979,0.020782415186241,10000,10000
50,"sine",0.8,2,2,"dCov",0.1835,0.00387075896950456,0.32969940290826,10000,10000
50,"sine",0.8,2,2,"HHG",0.1594,0.00366048685286534,3435.84064372749,10000,10000
50,"sine",0.8,2,2,"Genest",0.1852,0.0038845972764239,0.0573029582222211,10000,10000
50,"sine",0.8,2,2,"MIC",0.2226,0.00415991874920653,0.400100698950457,10000,10000
50,"sine",0.8,2,1,"B_n",0.1499,0.00356973374357248,6.00743518517708,10000,10000
50,"sine",0.8,2,1,"P_n",0.1499,0.00356973374357248,5.99931348407864,10000,10000
50,"sine",0.8,2,1,"Hoeffding",0.1774,0.00382006858577173,0.0208844324038589,10000,10000
50,"sine",0.8,2,1,"dCov",0.1777,0.00382260003139225,0.330581644810768,10000,10000
50,"sine",0.8,2,1,"HHG",0.1518,0.00358826922066893,3461.45464233334,10000,10000
50,"sine",0.8,2,1,"Genest",0.1817,0.00385597082457842,0.0579308462222186,10000,10000
50,"sine",0.8,2,1,"MIC",0.229,0.0042018924307983,0.4,10000,10000
50,"sine",0.9,2,2,"B_n",0.0999,0.00299866620349782,9.4117140982355,10000,10000
50,"sine",0.9,2,2,"P_n",0.0997,0.00299599582776746,9.33417744557492,10000,10000
50,"sine",0.9,2,2,"Hoeffding",0.1542,0.00361140360524824,0.0203707357133417,10000,10000
50,"sine",0.9,2,2,"dCov",0.1606,0.00367161599299273,0.327389910631006,10000,10000
50,"sine",0.9,2,2,"HHG",0.1321,0.00338599453632164,3446.33126667137,10000,10000
50,"sine",0.9,2,2,"Genest",0.1539,0.00360852864752381,0.0572696302222229,10000,10000
50,"sine",0.9,2,2,"MIC",0.1698,0.00375457001532799,0.401943170437458,10000,10000
50,"sine",0.9,2,1,"B_n",0.1301,0.00336413421254266,5.94917192702384,10000,10000
50,"sine",0.9,2,1,"P_n",0.1301,0.00336413421254266,5.9447345212718,10000,10000
50,"sine",0.9,2,1,"Hoeffding",0.1446,0.00351697085572229,0.0213156280088353,10000,10000
50,"sine",0.9,2,1,"dCov",0.157,0.00363800769652842,0.328673599068068,10000,10000
50,"sine",0.9,2,1,"HHG",0.1222,0.00327516656065001,3484.53204526616,10000,10000
50,"sine",0.9,2,1,"Genest",0.1565,0.00363328707921628,0.0568541902222206,10000,10000
50,"sine",0.9,2,1,"MIC",0.1843,0.00387728655118499,0.398853905458793,10000,10000
50,"sine",1,2,2,"B_n",0.0896,0.00285607843029564,9.46413807432659,10000,10000
50,"sine",1,2,2,"P_n",0.0896,0.00285607843029564,9.36400602058219,10000,10000
50,"sine",1,2,2,"Hoeffding",0.1359,0.00342682345620547,0.0203837386018237,10000,10000
50,"sine",1,2,2,"dCov",0.1369,0.00343741748991885,0.329337923504451,10000,10000
50,"sine",1,2,2,"HHG",0.1126,0.00316103210992865,3463.37981331898,10000,10000
50,"sine",1,2,2,"Genest",0.1363,0.00343106849246703,0.0573488782222211,10000,10000
50,"sine",1,2,2,"MIC",0.1581,0.00364834743411315,0.397279556513265,10000,10000
50,"sine",1,2,1,"B_n",0.117,0.00321420285607489,6.00882290078755,10000,10000
50,"sine",1,2,1,"P_n",0.117,0.00321420285607489,6.00061266105851,10000,10000
50,"sine",1,2,1,"Hoeffding",0.1365,0.00343318729462871,0.0205411183900017,10000,10000
50,"sine",1,2,1,"dCov",0.1329,0.00339466625752812,0.330896599713869,10000,10000
50,"sine",1,2,1,"HHG",0.1064,0.00308348893301079,3482.79150999911,10000,10000
50,"sine",1,2,1,"Genest",0.1382,0.00345109779635408,0.0577002702222218,10000,10000
50,"sine",1,2,1,"MIC",0.1381,0.00345004913008496,0.40381393635017,10000,10000
50,"sine",1.1,2,2,"B_n",0.0835,0.0027663649433869,9.31864507506021,10000,10000
50,"sine",1.1,2,2,"P_n",0.0846,0.00278285536814258,9.19789570916644,10000,10000
50,"sine",1.1,2,2,"Hoeffding",0.1164,0.00320703975653561,0.0201575213804301,10000,10000
50,"sine",1.1,2,2,"dCov",0.1235,0.00329010258198738,0.327177013450963,10000,10000
50,"sine",1.1,2,2,"HHG",0.1013,0.00301725554105051,3426.21068379212,10000,10000
50,"sine",1.1,2,2,"Genest",0.1274,0.00333420515265633,0.0558689742222233,10000,10000
50,"sine",1.1,2,2,"MIC",0.1348,0.0034150982416323,0.395044985195905,10000,10000
50,"sine",1.1,2,1,"B_n",0.0964,0.00295139018091475,6.0516437254838,10000,10000
50,"sine",1.1,2,1,"P_n",0.0964,0.00295139018091475,6.04068142565919,10000,10000
50,"sine",1.1,2,1,"Hoeffding",0.1115,0.003147502978553,0.0207868281447639,10000,10000
50,"sine",1.1,2,1,"dCov",0.1166,0.00320943047907257,0.328738774223659,10000,10000
50,"sine",1.1,2,1,"HHG",0.0965,0.00295275718608896,3455.2912798707,10000,10000
50,"sine",1.1,2,1,"Genest",0.1155,0.00319624388931758,0.0575413262222206,10000,10000
50,"sine",1.1,2,1,"MIC",0.1161,0.00320344798615492,0.400316129402213,10000,10000
50,"sine",1.2,2,2,"B_n",0.0754,0.00264035679407159,9.37850136416973,10000,10000
50,"sine",1.2,2,2,"P_n",0.0754,0.00264035679407159,9.28282786817037,10000,10000
50,"sine",1.2,2,2,"Hoeffding",0.1068,0.00308858802691456,0.0200391266589892,10000,10000
50,"sine",1.2,2,2,"dCov",0.1163,0.00320584325880103,0.325098461927097,10000,10000
50,"sine",1.2,2,2,"HHG",0.0908,0.00287324485555965,3441.9054048586,10000,10000
50,"sine",1.2,2,2,"Genest",0.108,0.00310380411753061,0.0566886702222213,10000,10000
50,"sine",1.2,2,2,"MIC",0.1083,0.00310758925857328,0.403001742841777,10000,10000
50,"sine",1.2,2,1,"B_n",0.0868,0.00281541755340127,6.05828060031559,10000,10000
50,"sine",1.2,2,1,"P_n",0.0868,0.00281541755340127,6.04688847795097,10000,10000
50,"sine",1.2,2,1,"Hoeffding",0.1057,0.00307453264741164,0.0206160206913477,10000,10000
50,"sine",1.2,2,1,"dCov",0.1061,0.00307965566257009,0.328713291808799,10000,10000
50,"sine",1.2,2,1,"HHG",0.0891,0.00284888030636599,3458.20687674849,10000,10000
50,"sine",1.2,2,1,"Genest",0.1074,0.0030962112331041,0.0574747342222218,10000,10000
50,"sine",1.2,2,1,"MIC",0.103,0.00303958878797774,0.403802020954765,10000,10000
50,"sine",1.3,2,2,"B_n",0.0755,0.00264196423140057,9.3396938557844,10000,10000
50,"sine",1.3,2,2,"P_n",0.0751,0.00263552632314686,9.25155504758784,10000,10000
50,"sine",1.3,2,2,"Hoeffding",0.096,0.00294591242232351,0.0206552653438804,10000,10000
50,"sine",1.3,2,2,"dCov",0.1032,0.00304219920452294,0.326837735516064,10000,10000
50,"sine",1.3,2,2,"HHG",0.0852,0.00279179082310978,3447.86975058351,10000,10000
50,"sine",1.3,2,2,"Genest",0.1028,0.00303697481056396,0.0565220942222205,10000,10000
50,"sine",1.3,2,2,"MIC",0.1024,0.00303173613627571,0.399547442146576,10000,10000
50,"sine",1.3,2,1,"B_n",0.0836,0.00276786993914093,6.02249199346085,10000,10000
50,"sine",1.3,2,1,"P_n",0.0836,0.00276786993914093,6.01340718095346,10000,10000
50,"sine",1.3,2,1,"Hoeffding",0.0916,0.00288460465228773,0.0209259425324246,10000,10000
50,"sine",1.3,2,1,"dCov",0.0952,0.00293490987936597,0.32944453090294,10000,10000
50,"sine",1.3,2,1,"HHG",0.0792,0.00270050661913649,3457.02238746647,10000,10000
50,"sine",1.3,2,1,"Genest",0.0939,0.00291689543864706,0.0578576142222236,10000,10000
50,"sine",1.3,2,1,"MIC",0.1043,0.00305649325207827,0.399266085901473,10000,10000
50,"sine",1.4,2,2,"B_n",0.08,0.00271293199325011,9.21333067266045,10000,10000
50,"sine",1.4,2,2,"P_n",0.0784,0.002688,9.18917782157455,10000,10000
50,"sine",1.4,2,2,"Hoeffding",0.0985,0.00297989513238302,0.0196555768468349,10000,10000
50,"sine",1.4,2,2,"dCov",0.1041,0.00305390225776792,0.324756556561527,10000,10000
50,"sine",1.4,2,2,"HHG",0.0865,0.00281100960510632,3411.92676342941,10000,10000
50,"sine",1.4,2,2,"Genest",0.1019,0.00302516759866292,0.0558505262222224,10000,10000
50,"sine",1.4,2,2,"MIC",0.0877,0.00282858109305708,0.401742686716755,10000,10000
50,"sine",1.4,2,1,"B_n",0.0796,0.00270672939171983,6.03866960749119,10000,10000
50,"sine",1.4,2,1,"P_n",0.0796,0.00270672939171983,6.02854500137852,10000,10000
50,"sine",1.4,2,1,"Hoeffding",0.0872,0.00282127914251674,0.0211519001680228,10000,10000
50,"sine",1.4,2,1,"dCov",0.0878,0.00283003816228686,0.331278701605475,10000,10000
50,"sine",1.4,2,1,"HHG",0.0737,0.0026128205066556,3479.4558182419,10000,10000
50,"sine",1.4,2,1,"Genest",0.0889,0.00284599349964121,0.0579039342222207,10000,10000
50,"sine",1.4,2,1,"MIC",0.0871,0.00281981541949114,0.401961862327909,10000,10000
50,"sine",1.5,2,2,"B_n",0.0665,0.00249154068800812,9.47525830271246,10000,10000
50,"sine",1.5,2,2,"P_n",0.0657,0.00247756957520874,9.42148456493542,10000,10000
50,"sine",1.5,2,2,"Hoeffding",0.0824,0.00274973162326799,0.0207374124487908,10000,10000
50,"sine",1.5,2,2,"dCov",0.089,0.00284743744444018,0.326573321642531,10000,10000
50,"sine",1.5,2,2,"HHG",0.081,0.00272835115042034,3430.59006512648,10000,10000
50,"sine",1.5,2,2,"Genest",0.0863,0.00280806534824245,0.0566730062222221,10000,10000
50,"sine",1.5,2,2,"MIC",0.0868,0.00281541755340127,0.399387535914313,10000,10000
50,"sine",1.5,2,1,"B_n",0.0824,0.00274973162326799,5.87171686092554,10000,10000
50,"sine",1.5,2,1,"P_n",0.0824,0.00274973162326799,5.87207243643602,10000,10000
50,"sine",1.5,2,1,"Hoeffding",0.0877,0.00282858109305708,0.0201193622684967,10000,10000
50,"sine",1.5,2,1,"dCov",0.0876,0.00282712291915297,0.328664443777315,10000,10000
50,"sine",1.5,2,1,"HHG",0.0722,0.00258818778298639,3460.30868855975,10000,10000
50,"sine",1.5,2,1,"Genest",0.0885,0.00284020685866364,0.0571833582222204,10000,10000
50,"sine",1.5,2,1,"MIC",0.085,0.00278881695347687,0.399467753722509,10000,10000
50,"sine",1.6,2,2,"B_n",0.0731,0.00260300576257526,9.16225911109769,10000,10000
50,"sine",1.6,2,2,"P_n",0.0704,0.00255819936674216,9.13804340616532,10000,10000
50,"sine",1.6,2,2,"Hoeffding",0.0851,0.00279030446367417,0.0202614028960335,10000,10000
50,"sine",1.6,2,2,"dCov",0.0846,0.00278285536814258,0.327488776656774,10000,10000
50,"sine",1.6,2,2,"HHG",0.0779,0.0026801416007368,3432.36296985188,10000,10000
50,"sine",1.6,2,2,"Genest",0.0865,0.00281100960510632,0.0564203662222197,10000,10000
50,"sine",1.6,2,2,"MIC",0.0774,0.0026722507367386,0.401275826930458,10000,10000
50,"sine",1.6,2,1,"B_n",0.0768,0.00266273844002748,5.93172241329431,10000,10000
50,"sine",1.6,2,1,"P_n",0.0768,0.00266273844002748,5.92837525343502,10000,10000
50,"sine",1.6,2,1,"Hoeffding",0.0837,0.00276937375592389,0.0199225726368253,10000,10000
50,"sine",1.6,2,1,"dCov",0.0862,0.00280659152710187,0.328653383267511,10000,10000
50,"sine",1.6,2,1,"HHG",0.0695,0.00254302477376844,3466.05122056225,10000,10000
50,"sine",1.6,2,1,"Genest",0.0847,0.0027843474998642,0.0567953582222211,10000,10000
50,"sine",1.6,2,1,"MIC",0.0814,0.0027344842292469,0.400429894553522,10000,10000
50,"sine",1.7,2,2,"B_n",0.0596,0.00236744250194171,9.46855940955174,10000,10000
50,"sine",1.7,2,2,"P_n",0.0602,0.00237857015872982,9.37667191365117,10000,10000
50,"sine",1.7,2,2,"Hoeffding",0.0741,0.00261933560278174,0.0208310049274104,10000,10000
50,"sine",1.7,2,2,"dCov",0.0743,0.00262258479367207,0.328042825098241,10000,10000
50,"sine",1.7,2,2,"HHG",0.0705,0.00255987792677698,3421.98571136395,10000,10000
50,"sine",1.7,2,2,"Genest",0.0768,0.00266273844002748,0.0566862542222217,10000,10000
50,"sine",1.7,2,2,"MIC",0.0812,0.00273142014344187,0.398995868127046,10000,10000
50,"sine",1.7,2,1,"B_n",0.0713,0.00257325299960964,6.0289352914545,10000,10000
50,"sine",1.7,2,1,"P_n",0.0713,0.00257325299960964,6.01943699363576,10000,10000
50,"sine",1.7,2,1,"Hoeffding",0.0777,0.00267698916695604,0.0212033689516509,10000,10000
50,"sine",1.7,2,1,"dCov",0.0799,0.00271138322632563,0.331070211336817,10000,10000
50,"sine",1.7,2,1,"HHG",0.0717,0.0025799052308176,3449.93983279044,10000,10000
50,"sine",1.7,2,1,"Genest",0.0805,0.00272065708974872,0.0576679982222211,10000,10000
50,"sine",1.7,2,1,"MIC",0.0747,0.00262906656439125,0.4,10000,10000
50,"sine",1.8,2,2,"B_n",0.0649,0.00246349325146224,9.37320941612079,10000,10000
50,"sine",1.8,2,2,"P_n",0.065,0.00246525860712421,9.26866264874061,10000,10000
50,"sine",1.8,2,2,"Hoeffding",0.0724,0.00259149069070294,0.0203145235892692,10000,10000
50,"sine",1.8,2,2,"dCov",0.0743,0.00262258479367207,0.32742649889124,10000,10000
50,"sine",1.8,2,2,"HHG",0.0692,0.00253793932157568,3426.5043872758,10000,10000
50,"sine",1.8,2,2,"Genest",0.0758,0.00264677841913523,0.0561860942222244,10000,10000
50,"sine",1.8,2,2,"MIC",0.0699,0.00254978410850801,0.401551977644859,10000,10000
50,"sine",1.8,2,1,"B_n",0.0666,0.00249327976769555,6.01028046079257,10000,10000
50,"sine",1.8,2,1,"P_n",0.0666,0.00249327976769555,6.00197713600169,10000,10000
50,"sine",1.8,2,1,"Hoeffding",0.0704,0.00255819936674216,0.0213767250656044,10000,10000
50,"sine",1.8,2,1,"dCov",0.0699,0.00254978410850801,0.33191985191872,10000,10000
50,"sine",1.8,2,1,"HHG",0.0669,0.00249848734237338,3463.21489836868,10000,10000
50,"sine",1.8,2,1,"Genest",0.0707,0.00256323057878139,0.0585892622222254,10000,10000
50,"sine",1.8,2,1,"MIC",0.0745,0.0026258284407021,0.401925020811018,10000,10000
50,"sine",1.9,2,2,"B_n",0.0623,0.0024169962763728,9.61485386456759,10000,10000
50,"sine",1.9,2,2,"P_n",0.0618,0.00240791943386817,9.53693598688987,10000,10000
50,"sine",1.9,2,2,"Hoeffding",0.0698,0.00254809654448178,0.0213704242103872,10000,10000
50,"sine",1.9,2,2,"dCov",0.0709,0.00256657729281625,0.331569707788278,10000,10000
50,"sine",1.9,2,2,"HHG",0.065,0.00246525860712421,3460.67319159009,10000,10000
50,"sine",1.9,2,2,"Genest",0.0709,0.00256657729281625,0.05821073422222,10000,10000
50,"sine",1.9,2,2,"MIC",0.0675,0.00250885930255166,0.400389149891751,10000,10000
50,"sine",1.9,2,1,"B_n",0.0667,0.00249501723440941,6.03901425879524,10000,10000
50,"sine",1.9,2,1,"P_n",0.0667,0.00249501723440941,6.02886743778682,10000,10000
50,"sine",1.9,2,1,"Hoeffding",0.068,0.00251745903640953,0.0213886424134871,10000,10000
50,"sine",1.9,2,1,"dCov",0.0718,0.00258156464184029,0.330076377665062,10000,10000
50,"sine",1.9,2,1,"HHG",0.0645,0.00245641507078914,3439.29373862911,10000,10000
50,"sine",1.9,2,1,"Genest",0.0698,0.00254809654448178,0.0584509422222227,10000,10000
50,"sine",1.9,2,1,"MIC",0.0695,0.00254302477376844,0.400407997543073,10000,10000
50,"sine",2,2,2,"B_n",0.0602,0.00237857015872982,9.360530089252,10000,10000
50,"sine",2,2,2,"P_n",0.0602,0.00237857015872982,9.292347672561,10000,10000
50,"sine",2,2,2,"Hoeffding",0.0617,0.0024060987095296,0.020880821801431,10000,10000
50,"sine",2,2,2,"dCov",0.0667,0.00249501723440941,0.328937362715644,10000,10000
50,"sine",2,2,2,"HHG",0.0624,0.00241880631717382,3443.350545348,10000,10000
50,"sine",2,2,2,"Genest",0.0673,0.00250540834995016,0.0570173262222221,10000,10000
50,"sine",2,2,2,"MIC",0.061,0.00239330315672712,0.401617333763058,10000,10000
50,"sine",2,2,1,"B_n",0.0662,0.00248631373724235,6.07344957941328,10000,10000
50,"sine",2,2,1,"P_n",0.0662,0.00248631373724235,6.06107181552093,10000,10000
50,"sine",2,2,1,"Hoeffding",0.0681,0.002519174269478,0.0210554994430705,10000,10000
50,"sine",2,2,1,"dCov",0.0697,0.00254640746935757,0.33017412244617,10000,10000
50,"sine",2,2,1,"HHG",0.0618,0.00240791943386817,3477.41035742339,10000,10000
50,"sine",2,2,1,"Genest",0.0681,0.002519174269478,0.0578511662222238,10000,10000
50,"sine",2,2,1,"MIC",0.0672,0.0025036804907975,0.4,10000,10000
50,"fourth root",0.1,2,2,"B_n",1,0,9.4399400701852,10000,10000
50,"fourth root",0.1,2,2,"P_n",1,0,9.32492294448573,10000,10000
